symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid
1980.T,ダイダン,プライム（内国株式）,1970-01-01,3010.0,2569.0,2440.0,2146.0,2237.0,1.0
1981.T,協和日成,スタンダード（内国株式）,1970-01-01,1395.0,1390.0,1477.0,1400.0,1244.0,1.0
1982.T,日比谷総合設備,プライム（内国株式）,1970-01-01,2266.0,2156.0,2092.0,1899.0,1855.0,1.0
1992.T,神田通信機,スタンダード（内国株式）,1970-01-01,1755.0,1770.0,1515.0,1550.0,1302.0,1.0
1994.T,高橋カーテンウォール工業,スタンダード（内国株式）,1970-01-01,507.0,495.0,469.0,489.0,505.0,1.0
1997.T,暁飯島工業,スタンダード（内国株式）,1970-01-01,1349.0,1322.0,1330.0,1387.0,1325.0,1.0
2001.T,ニップン,プライム（内国株式）,1970-01-01,2100.0,1811.0,1646.0,1573.0,1555.0,1.0
2002.T,日清製粉グループ本社,プライム（内国株式）,1970-01-01,1940.5,1789.0,1574.0,1592.0,1554.0,1.0
2003.T,日東富士製粉,スタンダード（内国株式）,1970-01-01,4950.0,4690.0,4485.0,4280.0,4590.0,1.0
2004.T,昭和産業,プライム（内国株式）,1970-01-01,3000.0,2641.0,2589.0,2410.0,2533.0,1.0
2009.T,鳥越製粉,スタンダード（内国株式）,1970-01-01,660.0,614.0,600.0,624.0,653.0,1.0
2053.T,中部飼料,プライム（内国株式）,1970-01-01,1145.0,1080.0,1043.0,1024.0,1077.0,1.0
2055.T,日和産業,スタンダード（内国株式）,1970-01-01,273.0,247.0,254.0,236.0,270.0,1.0
2060.T,フィード・ワン,プライム（内国株式）,1970-01-01,814.0,723.0,691.0,665.0,708.0,1.0
2107.T,東洋精糖,スタンダード（内国株式）,1970-01-01,2213.0,1425.0,926.0,878.0,894.0,1.0
2108.T,日本甜菜製糖,プライム（内国株式）,1970-01-01,1917.0,1820.0,1730.0,1617.0,1621.0,1.0
2109.T,ＤＭ三井製糖ホールディングス,プライム（内国株式）,1970-01-01,3040.0,2539.0,2113.0,1944.0,1852.0,1.0
2112.T,塩水港精糖,スタンダード（内国株式）,1970-01-01,262.0,202.0,207.0,195.0,204.0,1.0
2114.T,フジ日本精糖,スタンダード（内国株式）,1970-01-01,1118.0,670.0,531.0,483.0,478.0,1.0
2117.T,ウェルネオシュガー,プライム（内国株式）,1970-01-01,2163.0,1985.0,1704.0,1671.0,1750.0,1.0
2120.T,ＬＩＦＵＬＬ,プライム（内国株式）,1970-01-01,245.0,253.0,210.0,236.0,173.0,1.0
2121.T,ＭＩＸＩ,プライム（内国株式）,1970-01-01,2438.0,2743.0,2674.0,2430.0,2327.0,1.0
2122.T,インタースペース,スタンダード（内国株式）,1970-01-01,953.0,1040.0,1035.0,1008.0,963.0,1.0
2124.T,ジェイエイシーリクルートメント,プライム（内国株式）,1970-01-01,2711.0,2353.0,2499.0,2556.0,1952.0,1.0
2127.T,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,1970-01-01,833.5999755859375,1034.5,1123.0,1924.0,1659.0,1.0
2130.T,メンバーズ,プライム（内国株式）,1970-01-01,1268.0,1549.0,1432.0,2125.0,2675.0,1.0
2134.T,燦キャピタルマネージメント,スタンダード（内国株式）,1970-01-01,20.0,24.0,14.0,16.0,24.0,1.0
2136.T,ヒップ,スタンダード（内国株式）,1970-01-01,1105.0,970.0,887.0,751.0,712.0,1.0
2138.T,クルーズ,スタンダード（内国株式）,1970-01-01,1062.0,866.0,976.0,1391.0,952.0,1.0
2139.T,中広,スタンダード（内国株式）,1970-01-01,419.0,402.0,404.0,380.0,407.0,1.0
2146.T,ＵＴグループ,プライム（内国株式）,1970-01-01,2457.0,2937.0,2441.0,2598.0,2729.0,1.0
2148.T,アイティメディア,プライム（内国株式）,1970-01-01,1157.0,1274.0,1403.0,1796.0,1774.0,1.0
2150.T,ケアネット,グロース（内国株式）,1970-01-01,884.0,853.0,1140.0,1169.0,1246.0,1.0
