symbol,name,market,latestClosingDate
2193.T,クックパッド,スタンダード（内国株式）,1970-01-01
2195.T,アミタホールディングス,グロース（内国株式）,1970-01-01
2196.T,エスクリ,プライム（内国株式）,1970-01-01
2198.T,アイ・ケイ・ケイホールディングス,プライム（内国株式）,1970-01-01
2201.T,森永製菓,プライム（内国株式）,1970-01-01
2204.T,中村屋,プライム（内国株式）,1970-01-01
2206.T,江崎グリコ,プライム（内国株式）,1970-01-01
2207.T,名糖産業,プライム（内国株式）,1970-01-01
2208.T,ブルボン,スタンダード（内国株式）,1970-01-01
2209.T,井村屋グループ,プライム（内国株式）,1970-01-01
2211.T,不二家,プライム（内国株式）,1970-01-01
2212.T,山崎製パン,プライム（内国株式）,1970-01-01
2215.T,第一屋製パン,スタンダード（内国株式）,1970-01-01
2216.T,カンロ,スタンダード（内国株式）,1970-01-01
2217.T,モロゾフ,プライム（内国株式）,1970-01-01
2220.T,亀田製菓,プライム（内国株式）,1970-01-01
2221.T,岩塚製菓,スタンダード（内国株式）,1970-01-01
2222.T,寿スピリッツ,プライム（内国株式）,1970-01-01
2224.T,コモ,スタンダード（内国株式）,1970-01-01
2226.T,湖池屋,スタンダード（内国株式）,1970-01-01
2229.T,カルビー,プライム（内国株式）,1970-01-01
2264.T,森永乳業,プライム（内国株式）,1970-01-01
2266.T,六甲バター,プライム（内国株式）,1970-01-01
2267.T,ヤクルト本社,プライム（内国株式）,1970-01-01
2268.T,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,1970-01-01
2269.T,明治ホールディングス,プライム（内国株式）,1970-01-01
2270.T,雪印メグミルク,プライム（内国株式）,1970-01-01
2281.T,プリマハム,プライム（内国株式）,1970-01-01
2282.T,日本ハム,プライム（内国株式）,1970-01-01
2286.T,林兼産業,スタンダード（内国株式）,1970-01-01
2288.T,丸大食品,プライム（内国株式）,1970-01-01
2291.T,福留ハム,スタンダード（内国株式）,1970-01-01
2292.T,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,1970-01-01
2293.T,滝沢ハム,スタンダード（内国株式）,1970-01-01
2294.T,柿安本店,プライム（内国株式）,1970-01-01
2296.T,伊藤ハム米久ホールディングス,プライム（内国株式）,1970-01-01
2300.T,きょくとう,スタンダード（内国株式）,1970-01-01
2301.T,学情,プライム（内国株式）,1970-01-01
2303.T,ドーン,スタンダード（内国株式）,1970-01-01
2304.T,ＣＳＳホールディングス,スタンダード（内国株式）,1970-01-01
2305.T,スタジオアリス,プライム（内国株式）,1970-01-01
2307.T,クロスキャット,プライム（内国株式）,1970-01-01
2309.T,シミックホールディングス,プライム（内国株式）,1970-01-01
2311.T,エプコ,プライム（内国株式）,1970-01-01
2315.T,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,1970-01-01
2317.T,システナ,プライム（内国株式）,1970-01-01
2321.T,ソフトフロントホールディングス,グロース（内国株式）,1970-01-01
2323.T,ｆｏｎｆｕｎ,スタンダード（内国株式）,1970-01-01
2325.T,ＮＪＳ,プライム（内国株式）,1970-01-01
2326.T,デジタルアーツ,プライム（内国株式）,1970-01-01
2327.T,日鉄ソリューションズ,プライム（内国株式）,1970-01-01
2329.T,東北新社,スタンダード（内国株式）,1970-01-01
2330.T,フォーサイド,スタンダード（内国株式）,1970-01-01
2331.T,綜合警備保障,プライム（内国株式）,1970-01-01
2332.T,クエスト,スタンダード（内国株式）,1970-01-01
2334.T,イオレ,グロース（内国株式）,1970-01-01
2335.T,キューブシステム,プライム（内国株式）,1970-01-01
2337.T,いちご,プライム（内国株式）,1970-01-01
2338.T,クオンタムソリューションズ,スタンダード（内国株式）,1970-01-01
2340.T,極楽湯ホールディングス,スタンダード（内国株式）,1970-01-01
2341.T,アルバイトタイムス,スタンダード（内国株式）,1970-01-01
2342.T,トランスジェニック,グロース（内国株式）,1970-01-01
2344.T,平安レイサービス,スタンダード（内国株式）,1970-01-01
2345.T,クシム,スタンダード（内国株式）,1970-01-01
2349.T,エヌアイデイ,スタンダード（内国株式）,1970-01-01
2351.T,ＡＳＪ,グロース（内国株式）,1970-01-01
2353.T,日本駐車場開発,プライム（内国株式）,1970-01-01
2354.T,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,1970-01-01
2359.T,コア,プライム（内国株式）,1970-01-01
2370.T,メディネット,グロース（内国株式）,1970-01-01
2371.T,カカクコム,プライム（内国株式）,1970-01-01
2372.T,アイロムグループ,プライム（内国株式）,1970-01-01
2373.T,ケア２１,スタンダード（内国株式）,1970-01-01
2374.T,セントケア・ホールディング,プライム（内国株式）,1970-01-01
2375.T,ギグワークス,スタンダード（内国株式）,1970-01-01
2376.T,サイネックス,スタンダード（内国株式）,1970-01-01
2378.T,ルネサンス,プライム（内国株式）,1970-01-01
2379.T,ディップ,プライム（内国株式）,1970-01-01
2384.T,ＳＢＳホールディングス,プライム（内国株式）,1970-01-01
