symbol,name,market,latestClosingDate,is_valid,four_quarters_eps,three_quarters_eps,two_quarters_eps,latest_quarter_eps,four_quarters_revenue,three_quarters_revenue,two_quarters_revenue,latest_quarter_revenue,four_years_eps,three_years_eps,two_years_eps,latest_year_eps,latest_year_roe
5032.T,ＡＮＹＣＯＬＯＲ,プライム（内国株式）,2023-04-30,1.0,48.83,50.79,73.45,23.69,5930883000.0,6042127000.0,7434422000.0,5934279000.0,1.08,31.29,93.25,108.4,50.52
5033.T,ヌーラボ,グロース（内国株式）,2023-06-30,1.0,2.25,8.89,5.28,14.63,654339000.0,673387000.0,743497000.0,839020000.0,-8.2,-3.96,30.68,13.71,9.22
5034.T,ｕｎｅｒｒｙ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5035.T,ＨＯＵＳＥＩ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5036.T,日本ビジネスシステムズ,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5038.T,ｅＷｅＬＬ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5070.T,ドラフト,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5071.T,ヴィス,スタンダード（内国株式）,2023-06-30,1.0,40.27,21.68,29.42,19.4,4347583000.0,2873981000.0,3478477000.0,3045694000.0,74.93,40.58,83.78,104.08,17.11
5074.T,テスホールディングス,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
50749.T,テスホールディングス 新株予約権,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5076.T,インフロニア・ホールディングス,プライム（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5078.T,セレコーポレーション,スタンダード（内国株式）,2023-05-31,1.0,90.66,105.13,17.66,124.54,5529904000.0,6664909000.0,4487802000.0,6877134000.0,327.53,166.42,2912.95,244.4,4.54
5079.T,ノバック,スタンダード（内国株式）,2023-04-30,1.0,167.54,118.89,99.18,10.27,8273509000.0,8350748000.0,8082089000.0,7241994000.0,240.19,337.27,404.88,394.9,10.92
5101.T,横浜ゴム,プライム（内国株式）,2023-06-30,1.0,58.84,78.66,57.24,106.0,224281000000.0,244713000000.0,204314000000.0,238850000000.0,247.54,155.19,386.32,285.89,7.47
5103.T,昭和ホールディングス,スタンダード（内国株式）,2023-06-30,1.0,1.39,-1.56,-3.03,-0.27,1938251000.0,1783768000.0,1878448000.0,2359872000.0,-7.9,-16.1,-12.02,-4.44,-16.88
5105.T,ＴＯＹＯ　ＴＩＲＥ,プライム（内国株式）,2023-06-30,1.0,89.14,20.69,70.62,118.35,126763000000.0,146783000000.0,129160000000.0,136297000000.0,158.86,75.8,268.31,311.18,14.95
5108.T,ブリヂストン,プライム（内国株式）,2023-06-30,1.0,134.24,156.4,126.8,134.64,1090583000000.0,1133147000000.0,1043541000000.0,1058165000000.0,384.22,-32.65,552.11,420.86,10.13
5110.T,住友ゴム工業,プライム（内国株式）,2023-06-30,1.0,-10.7,-18.84,15.23,15.93,269400000000.0,317152000000.0,276761000000.0,284400000000.0,50.07,85.9,112.03,35.79,1.72
5121.T,藤倉コンポジット,プライム（内国株式）,2023-06-30,1.0,38.62,48.18,30.58,37.55,10650382000.0,11116146000.0,9286337000.0,9305364000.0,16.67,50.45,173.29,168.38,11.84
5122.T,オカモト,プライム（内国株式）,2023-06-30,1.0,47.9,76.4,51.35,151.39,23925000000.0,26826000000.0,25829000000.0,25208000000.0,178.02,290.67,292.0,263.07,6.44
5125.T,ファインズ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5126.T,ポーターズ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5127.T,グッピーズ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5129.T,ＦＩＸＥＲ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5131.T,リンカーズ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5132.T,ｐｌｕｓｚｅｒｏ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5133.T,テリロジーホールディングス,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5134.T,ＰＯＰＥＲ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5136.T,ｔｒｉｐｌａ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5137.T,スマートドライブ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5138.T,Ｒｅｂａｓｅ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5139.T,オープンワーク,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5142.T,アキレス,プライム（内国株式）,2023-06-30,1.0,2.08,-5.71,-83.45,-11.85,21668000000.0,22250000000.0,19867000000.0,18596000000.0,119.46,202.68,96.14,-78.37,-2.61
5161.T,西川ゴム工業,スタンダード（内国株式）,2023-06-30,1.0,-14.0,-7.1,113.93,66.67,23659000000.0,27567000000.0,24463000000.0,27309000000.0,224.35,134.88,105.27,105.47,2.89
5162.T,朝日ラバー,スタンダード（内国株式）,2023-06-30,1.0,9.49,12.85,6.9,1.43,1824031000.0,1892289000.0,1734586000.0,1665709000.0,27.44,24.64,51.63,43.96,4.15
5184.T,ニチリン,スタンダード（内国株式）,2023-06-30,1.0,83.5,89.0,77.51,131.44,17408000000.0,17319000000.0,17083000000.0,16776000000.0,191.21,165.61,332.67,318.55,9.9
5185.T,フコク,プライム（内国株式）,2023-06-30,1.0,34.58,27.4,12.72,21.75,19582000000.0,21651000000.0,21696000000.0,21506000000.0,17.55,71.21,118.35,121.24,5.99
5186.T,ニッタ,プライム（内国株式）,2023-06-30,1.0,87.14,105.67,82.35,82.65,22007000000.0,22440000000.0,22524000000.0,21725000000.0,203.09,156.02,346.49,358.51,8.43
5187.T,クリエートメディック,スタンダード（内国株式）,2023-06-30,1.0,24.11,-8.65,13.42,20.53,3136439000.0,3091718000.0,2870088000.0,3155223000.0,75.02,68.24,68.33,47.66,3.13
5189.T,櫻護謨,スタンダード（内国株式）,2023-06-30,1.0,-48.93,264.02,289.57,-12.79,1481403000.0,2388813000.0,5589693000.0,2124962000.0,667.69,232.98,-93.38,310.46,4.05
5191.T,住友理工,プライム（内国株式）,2023-06-30,1.0,-20.44,21.77,88.54,31.39,138354000000.0,139497000000.0,145904000000.0,145637000000.0,8.47,-47.64,-61.1,64.23,4.0
5192.T,三ツ星ベルト,プライム（内国株式）,2023-06-30,1.0,57.54,51.83,44.84,67.2,21968000000.0,21259000000.0,19084000000.0,20549000000.0,167.59,124.71,195.68,216.87,8.07
5194.T,相模ゴム工業,スタンダード（内国株式）,2023-06-30,1.0,39.08,13.66,-24.17,-0.4,1465589000.0,1648803000.0,1504144000.0,1648591000.0,82.5,54.68,100.36,61.58,6.97
5195.T,バンドー化学,プライム（内国株式）,2023-06-30,1.0,30.88,21.96,23.66,42.57,26553000000.0,26100000000.0,25307000000.0,26553000000.0,14.45,83.51,25.65,121.19,7.37
5199.T,不二ラテックス,スタンダード（内国株式）,2023-06-30,1.0,99.1,104.66,98.49,49.27,2067953000.0,2005673000.0,1908643000.0,1872013000.0,-20.67,132.25,-111.02,402.2,14.46
5201.T,ＡＧＣ,プライム（内国株式）,2023-06-30,1.0,121.14,-448.05,97.04,81.37,520510000000.0,537024000000.0,489208000000.0,496109000000.0,195.36,143.84,544.49,-13.86,-0.23
5202.T,日本板硝子,プライム（内国株式）,2023-06-30,1.0,-452.0,18.17,37.28,77.08,197742000000.0,190574000000.0,197296000000.0,207954000000.0,-208.79,-186.43,45.43,-370.32,-34.79
5204.T,石塚硝子,スタンダード（内国株式）,2023-06-30,1.0,-142.67,16.83,13.03,264.96,14486000000.0,14447000000.0,12889000000.0,14978000000.0,279.65,-716.43,534.18,59.72,1.0
5208.T,有沢製作所,プライム（内国株式）,2023-06-30,1.0,41.38,2.89,5.82,-6.02,11672390000.0,10549336000.0,9178796000.0,9494400000.0,5.85,62.68,116.35,85.16,6.06
5210.T,日本山村硝子,スタンダード（内国株式）,2023-06-30,1.0,-79.68,-85.38,-189.59,773.69,17065000000.0,17483000000.0,16390000000.0,18814000000.0,-13.55,-476.71,-865.93,-269.8,-8.05
5212.T,不二硝子,スタンダード（内国株式）,2023-06-30,1.0,28.85,11.54,-9.23,30.64,764123000.0,656754000.0,621106000.0,666613000.0,21.86,36.27,30.3,39.07,2.44
5214.T,日本電気硝子,プライム（内国株式）,2023-06-30,1.0,47.91,-10.23,8.5,-166.36,78431000000.0,73432000000.0,67922000000.0,71256000000.0,-338.3,153.25,280.38,283.02,5.37
5216.T,倉元製作所,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5217.T,テクノクオーツ,スタンダード（内国株式）,2023-06-30,1.0,192.54,195.23,170.09,166.61,5236011000.0,5225811000.0,4974380000.0,4019042000.0,254.56,411.85,564.18,758.45,17.83
5218.T,オハラ,スタンダード（内国株式）,2023-04-30,1.0,23.18,21.28,23.7,24.25,7370302000.0,7343599000.0,7044761000.0,7510916000.0,18.32,-166.73,57.39,83.15,4.7
5232.T,住友大阪セメント,プライム（内国株式）,2023-06-30,1.0,-52.52,35.15,-116.93,150.98,50173000000.0,54826000000.0,54206000000.0,52766000000.0,268.73,303.26,259.75,-166.59,-3.13
5233.T,太平洋セメント,プライム（内国株式）,2023-06-30,1.0,-133.09,-10.34,-127.4,2.99,199466000000.0,224366000000.0,209194000000.0,193534000000.0,307.94,368.1,237.5,-272.21,-6.71
5237.T,ノザワ,スタンダード（内国株式）,2023-06-30,1.0,16.25,6.29,-0.06,-6.07,5442309000.0,5471797000.0,5286669000.0,5710617000.0,70.79,104.54,141.91,40.3,2.63
5240.T,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5242.T,アイズ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5243.T,ｎｏｔｅ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5244.T,ｊｉｇ．ｊｐ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5246.T,ＥＬＥＭＥＮＴＳ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5247.T,ＢＴＭ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5248.T,テクノロジーズ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5250.T,プライム・ストラテジー,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5252.T,日本ナレッジ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5253.T,カバー,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5254.T,Ａｒｅｎｔ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5255.T,モンスターラボホールディングス,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5256.T,Ｆｕｓｉｃ,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5257.T,ノバシステム,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5258.T,トランザクション・メディア・ネットワークス,グロース（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5259.T,ＢＢＤイニシアティブ,グロース（内国株式）,2023-06-30,1.0,-0.33,7.82,4.02,1.1,814583000.0,839379000.0,857524000.0,908541000.0,3.68,-1.27,-21.14,22.73,11.47
5261.T,リソルホールディングス,プライム（内国株式）,2023-06-30,1.0,-43.87,-8.69,38.44,120.76,4446195000.0,4862967000.0,4515792000.0,6579533000.0,19.17,55.82,85.21,129.9,5.35
5262.T,日本ヒューム,プライム（内国株式）,2023-06-30,1.0,17.94,6.83,9.65,21.69,7183021000.0,8147463000.0,8868095000.0,7325697000.0,71.74,72.57,72.79,55.96,4.33
5268.T,旭コンクリート工業,スタンダード（内国株式）,2023-06-30,1.0,3.76,8.27,4.76,4.57,1509829000.0,1685711000.0,1896822000.0,1422068000.0,28.85,30.99,23.42,23.55,3.01
5269.T,日本コンクリート工業,プライム（内国株式）,2023-03-31,1.0,0.19,0.66,-2.22,-6.36,10511629000.0,14096614000.0,13484955000.0,14892878000.0,-0.61,32.38,15.17,-7.6,-1.26
5271.T,トーヨーアサノ,スタンダード（内国株式）,2023-05-31,1.0,105.28,-59.54,-224.68,115.93,4853145000.0,3956165000.0,4361019000.0,4005181000.0,66.86,111.35,79.62,-132.73,-5.61
5273.T,三谷セキサン,スタンダード（内国株式）,2023-06-30,1.0,69.28,71.72,117.34,101.01,22842000000.0,21560000000.0,21700000000.0,19814000000.0,224.68,215.12,212.99,328.22,11.74
5277.T,スパンクリートコーポレーション,スタンダード（内国株式）,2023-06-30,1.0,-4.73,-22.27,-28.96,-9.53,544662000.0,543792000.0,627753000.0,450829000.0,3.92,25.72,-29.38,-58.72,-9.46
5279.T,日本興業,スタンダード（内国株式）,2023-06-30,1.0,-5.44,51.94,24.05,4.68,2400848000.0,3209751000.0,3481954000.0,2867374000.0,88.38,106.76,89.15,64.84,2.72
5280.T,ヨシコン,スタンダード（内国株式）,2023-06-30,1.0,16.29,-10.69,81.11,-0.06,2453828000.0,1507506000.0,5242953000.0,4731480000.0,129.45,181.87,204.67,145.22,5.0
5282.T,ジオスター,スタンダード（内国株式）,2023-06-30,1.0,4.21,10.38,-4.94,4.55,6245772000.0,6074503000.0,8169162000.0,4366172000.0,16.76,28.26,46.17,20.49,2.95
5283.T,高見澤,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5284.T,ヤマウホールディングス,スタンダード（内国株式）,2023-06-30,1.0,19.1,102.51,87.13,39.52,3938974000.0,5301605000.0,5937195000.0,4059595000.0,116.15,197.13,242.13,209.99,14.64
5285.T,ヤマックス,スタンダード（内国株式）,2023-06-30,1.0,11.63,20.74,14.38,11.28,4192698000.0,5030655000.0,5513845000.0,4114643000.0,19.6,38.21,31.47,56.28,9.37
5287.T,イトーヨーギョー,スタンダード（内国株式）,2023-06-30,1.0,2.99,15.51,20.41,-9.51,738330000.0,998520000.0,1050433000.0,490467000.0,36.13,24.23,88.89,36.77,3.98
5288.T,アジアパイルホールディングス,プライム（内国株式）,2023-06-30,1.0,36.18,29.4,12.73,33.68,26364000000.0,28394000000.0,27726000000.0,25018000000.0,71.2,63.98,39.22,108.43,10.0
5290.T,ベルテクスコーポレーション,スタンダード（内国株式）,2023-06-30,1.0,22.07,44.23,35.89,17.44,8745961000.0,11543740000.0,10644603000.0,7615453000.0,66.65,107.24,138.84,122.48,11.85
5301.T,東海カーボン,プライム（内国株式）,2023-06-30,1.0,30.53,27.99,35.4,35.3,89262000000.0,94039000000.0,86530000000.0,91898000000.0,142.23,4.53,71.6,99.66,8.34
5302.T,日本カーボン,プライム（内国株式）,2023-06-30,1.0,90.09,20.54,63.55,101.84,8307000000.0,9116000000.0,7695000000.0,10401000000.0,819.78,152.97,230.64,269.93,7.01
5304.T,ＳＥＣカーボン,スタンダード（内国株式）,2023-06-30,1.0,179.76,312.41,482.26,509.08,6143000000.0,7526000000.0,10357000000.0,8157000000.0,2327.93,603.06,734.26,1305.19,8.66
5310.T,東洋炭素,プライム（内国株式）,2023-06-30,1.0,75.65,49.02,87.32,109.32,11735000000.0,11746000000.0,11304000000.0,12408000000.0,140.24,126.81,212.69,246.8,6.72
5331.T,ノリタケカンパニーリミテド,プライム（内国株式）,2023-06-30,1.0,167.08,235.2,96.95,204.81,35584000000.0,36134000000.0,35559000000.0,33463000000.0,230.08,189.05,610.93,675.34,7.82
5332.T,ＴＯＴＯ,プライム（内国株式）,2023-06-30,1.0,46.98,98.42,15.1,32.34,174216000000.0,199455000000.0,174044000000.0,156608000000.0,133.25,153.68,226.75,220.04,8.58
5333.T,日本碍子,プライム（内国株式）,2023-06-30,1.0,26.93,79.18,10.94,38.5,143688000000.0,140393000000.0,144159000000.0,141331000000.0,84.21,119.47,223.36,176.53,8.65
5334.T,日本特殊陶業,プライム（内国株式）,2023-06-30,1.0,94.91,79.77,33.89,117.93,141966000000.0,140138000000.0,143348000000.0,147950000000.0,165.04,187.91,294.84,324.69,11.76
5337.T,ダントーホールディングス,スタンダード（内国株式）,2023-06-30,1.0,-6.43,-9.27,-5.85,-7.68,1145000000.0,1324000000.0,1388000000.0,1224000000.0,-9.73,-6.5,-32.23,-12.33,-4.61
5341.T,ＡＳＡＨＩ　ＥＩＴＯホールディングス,スタンダード（内国株式）,2023-05-31,1.0,-10.57,-14.58,-19.74,-55.98,852088000.0,508592000.0,710767000.0,888895000.0,-204.55,6.23,-13.23,-46.51,-13.67
5344.T,ＭＡＲＵＷＡ,プライム（内国株式）,2023-06-30,1.0,365.02,269.16,249.43,230.04,15714000000.0,14909000000.0,14227000000.0,12722000000.0,476.39,560.58,1079.05,1214.03,15.94
5351.T,品川リフラクトリーズ,プライム（内国株式）,2023-06-30,1.0,282.95,204.46,191.74,736.1,31403000000.0,33285000000.0,30614000000.0,36670000000.0,588.59,224.19,562.92,880.97,12.2
5352.T,黒崎播磨,プライム（内国株式）,2023-06-30,1.0,156.67,205.78,326.18,337.7,40299000000.0,41890000000.0,42721000000.0,45357000000.0,707.0,475.5,602.34,908.66,11.26
5355.T,日本坩堝,スタンダード（内国株式）,2023-06-30,1.0,2.46,9.52,-14.69,4.72,2083737000.0,2119796000.0,2436458000.0,2415049000.0,43.55,16.64,30.13,3.49,0.47
5357.T,ヨータイ,プライム（内国株式）,2023-06-30,1.0,25.55,29.68,30.76,28.31,6442704000.0,7184952000.0,7496029000.0,7070391000.0,109.23,72.11,115.94,116.11,9.56
5363.T,東京窯業,スタンダード（内国株式）,2023-06-30,1.0,10.71,11.59,10.52,17.03,7051608000.0,7312324000.0,7369969000.0,7261793000.0,29.55,28.25,38.09,46.52,6.16
5367.T,ニッカトー,プライム（内国株式）,2023-06-30,1.0,14.67,20.46,16.07,15.54,2645591000.0,2679294000.0,2752937000.0,2471759000.0,36.34,22.63,55.36,68.83,6.74
5368.T,日本インシュレーション,スタンダード（内国株式）,2023-06-30,1.0,15.11,12.93,33.58,19.12,2901306000.0,3151932000.0,3334628000.0,2968676000.0,168.19,117.53,131.58,83.1,5.8
5380.T,新東,スタンダード（内国株式）,1970-01-01,0.0,,,,,,,,,,,,,
5381.T,Ｍｉｐｏｘ,スタンダード（内国株式）,2023-06-30,1.0,20.42,-28.25,-9.74,-12.14,2643231000.0,2283644000.0,2275974000.0,1867179000.0,-6.51,7.21,107.27,3.13,0.57
5384.T,フジミインコーポレーテッド,プライム（内国株式）,2023-06-30,1.0,113.56,88.69,77.57,22.78,15961000000.0,14119000000.0,13178000000.0,13225000000.0,148.78,195.37,319.03,396.79,15.35
5386.T,鶴弥,スタンダード（内国株式）,2023-06-30,1.0,-2.73,-0.24,-5.81,3.23,1751992000.0,1885455000.0,1776438000.0,1617881000.0,38.47,37.74,16.59,-11.71,-0.78
5388.T,クニミネ工業,スタンダード（内国株式）,2023-06-30,1.0,16.73,23.08,17.72,15.06,3722073000.0,4326690000.0,3966818000.0,3667416000.0,114.05,116.38,90.08,58.3,4.06
5391.T,エーアンドエーマテリアル,スタンダード（内国株式）,2023-06-30,1.0,45.0,-4.89,82.15,140.01,10278000000.0,9889000000.0,10053000000.0,8960000000.0,256.11,93.47,123.17,119.7,5.64
